[924, 760, 874, 970, 384, 536, 16552, 96, -869, 199, -21, 83, 163]
[923, 759, 874, 969, 1200, 760, 16544, 283, -730, -217, -21, 76, 156]
[923, 759, 874, 969, 600, 744, 16576, -144, 1029, 386, -18, 87, 157]
[923, 759, 875, 970, 752, 600, 16432, -402, 1098, 476, -23, 79, 164]
[923, 760, 874, 970, 1144, 440, 17520, 1536, 3291, 652, -15, 85, 160]
[926, 764, 873, 970, -2104, 1040, 16656, 4587, 7067, 935, -3, 85, 149]
[917, 646, 870, 969, -6128, 2936, 15192, 1735, 25647, 5841, 64, 65, 120]
[845, 490, 865, 968, -11736, 2432, 9840, -2391, 31000, 5601, 142, 27, 33]
[784, 455, 867, 968, -18128, 816, 3520, -7552, 20182, 5498, 160, 42, -106]
[777, 430, 871, 970, -13968, 4056, 2312, -5635, 4704, -1700, 138, 46, -146]
[780, 422, 874, 971, -10456, 1440, -384, -8617, -453, -16327, 128, 23, -163]
[795, 423, 880, 971, -20280, -2240, 592, 646, 3192, -563, 113, 14, -191]
[802, 430, 881, 971, -15360, 1896, 3072, 2142, 3270, 6515, 127, 19, -173]
[803, 432, 879, 972, -9920, 4352, 1088, -1433, -2459, -7978, 134, 29, -159]
[816, 435, 883, 972, -4344, 5488, -3856, 3418, -8725, -591, 113, 16, -177]
[811, 437, 882, 971, -18568, -408, 6280, 7534, -5268, 4928, 131, 14, -157]
[836, 526, 874, 968, -13920, 2952, 4448, 9817, -22384, 5500, 141, 33, -73]
[902, 724, 876, 965, -11272, 9008, 7792, 4118, -27540, -2452, 139, 105, 5]
[918, 731, 879, 968, -7128, 4120, 11992, -2285, -21337, -5040, 89, 158, 103]
[916, 735, 879, 968, -3672, 2240, 15160, -3965, -16133, -5432, 28, 127, 151]
[913, 737, 878, 970, -512, 1000, 17056, -4630, -7555, -803, 2, 104, 152]
[914, 737, 877, 970, -8, -400, 17880, -3198, -1365, -1195, -12, 83, 158]
[914, 737, 879, 969, 64, -256, 17320, -137, -378, -89, 3, 83, 147]
[916, 738, 879, 969, 80, 384, 17264, 208, -1611, 114, 0, 89, 143]
[916, 739, 879, 969, -368, 104, 16728, 361, 564, 115, 1, 93, 142]
[916, 740, 877, 969, 232, 424, 16672, 82, -296, 279, 2, 94, 143]
[917, 741, 877, 969, -64, 184, 16840, 479, -1339, 544, -2, 89, 143]
[917, 742, 878, 969, 208, 384, 16728, 447, 341, 105, -4, 99, 148]
[919, 740, 879, 969, -72, 88, 16424, 105, 262, 104, 3, 90, 149]
[917, 742, 877, 969, -256, 240, 16776, 208, -185, -103, -4, 87, 146]
[919, 743, 878, 969, 0, 136, 16768, -161, -158, -63, -8, 95, 135]
[918, 744, 878, 969, -168, 160, 16672, 347, -590, 706, -2, 92, 148]
[920, 742, 878, 969, 128, 296, 16624, -568, 654, -275, -12, 93, 142]
[919, 741, 879, 969, -560, -40, 16504, -662, 154, 38, -8, 85, 147]
[919, 745, 878, 969, -640, -168, 16440, 343, -466, 5, -3, 88, 144]
[920, 743, 880, 969, 8, 152, 17040, 296, -135, 401, -2, 87, 148]
[919, 744, 878, 970, -40, 40, 16832, -53, 700, -238, -5, 100, 144]
[919, 745, 877, 970, -720, -64, 16712, 583, -230, -106, -11, 87, 139]
[921, 744, 879, 968, -16, 288, 16488, -40, -222, 21, 2, 87, 155]
[921, 744, 878, 969, -24, 184, 16656, -112, 348, 75, -8, 93, 151]
